Treatment	Day	TratioDC
PBS	3	3.8498725479926
PBS	3	19.8120359695642
PBS	3	11.2597842543528
PBS	3	4.79297826843702
PBS	3	9.15989941165307
MTX	3	34.2713432400932
MTX	3	20.3751002656319
MTX	3	2.81120618005116
MTX	3	43.2290752456589
PBS	11	2.8648919813754
PBS	11	5.44420633592455
PBS	11	3.90224505100448
PBS	11	4.80872717608602
PBS	11	1.09552177647495
PBS	11	4.2622054958184
PBS	11	5.92196353966231
PBS	11	2.42688104177843
MTX	11	10.3269538402724
MTX	11	24.6902495489469
MTX	11	24.0252353472083
MTX	11	28.3316569987715
MTX	11	13.5332819565966
MTX	11	20.7480165828908
PBS	3	0.111863043603148
PBS	3	0.0170472865934867
PBS	3	0.199702075702076
PBS	3	0.0490896966553224
PBS	3	0.190637527421679
PBS	3	0.0722344856659955
PBS	3	0.0634478758880673
MTX	3	0.345807043796183
MTX	3	0.0147673219523646
MTX	3	0.520060732919963
MTX	3	0.157281627856005
MTX	3	0.222651014363681
MTX	3	0.348231094434999
